title,job_link,company,location,career,education,employment_type,salary,job_sector,register_date,deadline
"의료기기 제어용 펌웨어 개발 대리,과장급 구함(굿커리어)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573394&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,굿커리어,서울 강남구,경력 5~12년,대졸↑,정규직,정보 없음,"백엔드/서버개발, 웹개발, 프론트엔드, 네트워크, 데이터라벨링",등록일 24/12/11,~ 01/10(금)
[쿠팡 CFS] 2024 4분기 자동화설비보전 대규모 공개채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49310248&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,쿠팡풀필먼트서비스(유),경기전체,신입·경력,학력무관,정규직,정보 없음,"유지보수, 시설관리, 설비점검, 기계조작원, 설비OP",수정일 24/11/21,~ 12/21(토)
"2024년 하반기 신입, 경력 사원 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49435405&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)에이치알에스,서울전체,신입·경력,학력무관,정규직,정보 없음,"기술지원, 더존, 4대보험, 급여(Payroll), 원천세신고",수정일 24/11/22,~ 12/19(목)
[판교] 무선통신장비 시스템(HW) 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573384&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,위키에이드,서울전체,경력10년↑,대졸↑,정규직,정보 없음,"펌웨어, H/W, MCU, S/W, 설계엔지니어",등록일 24/12/11,~ 01/10(금)
"스타트기업 정보보안 대리,과장급 구함(굿커리어)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573382&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,굿커리어,서울 강남구,경력 5~11년,대졸↑,정규직,정보 없음,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅",등록일 24/12/11,~ 01/10(금)
하이브리드 클라우드 전략/개발 리드 (실장급)/세계적인 게임사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49555446&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)에이치알비즈코리아,경기 성남시 분당구,경력15년↑,대졸↑,정규직,정보 없음,"SE(시스템엔지니어), 클라우드, H/W, Windows, Linux",수정일 24/12/11,~ 12/31(화)
"스타트기업 의료기기 제어용 HW개발 대리,과장급 구함(굿커리어)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573378&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,굿커리어,서울 강남구,경력 4~11년,초대졸↑,정규직,정보 없음,"미들웨어, 임베디드, 클라우드, 펌웨어, H/W",등록일 24/12/11,~ 01/10(금)
"[안양,용산] SAP SI PM 10-16년 과차장급(정규직)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573374&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)디에스파트너즈그룹,서울 강남구,경력 10~17년,대졸↑,정규직,정보 없음,"SAP, ABAP, ERP, 컨설팅",등록일 24/12/11,~ 01/10(금)
NodeJs/Nestjs 서버 개발 및 표준화 연구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49287960&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)엠오브에스,서울 동작구,경력무관,대졸↑,정규직,"3,600 만원","백엔드/서버개발, 프론트엔드, MongoDB, Node.js, React",수정일 24/12/11,상시채용
의료기스타트기업 SW QC(SQA) 대리급 구함(굿커리어),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573369&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,굿커리어,서울 강남구,경력 2~8년,초대졸↑,정규직,정보 없음,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 프론트엔드",등록일 24/12/11,~ 01/10(금)
[판교] FPGA 개발 경력자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573367&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,위키에이드,서울전체,경력2년↑,대졸↑,정규직,정보 없음,"임베디드, FPGA, H/W, MCU, S/W",등록일 24/12/11,~ 01/10(금)
"2D/3D 게임, 전시 UI/UX 디자이너 및 기획자 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573365&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)포디아트,경기 고양시 일산동구,경력무관,학력무관,정규직,정보 없음,"게임개발, 모델링, 공예디자인, 그래픽디자인, 디지털디자인",등록일 24/12/11,~ 01/10(금)
